"","date","tx_type","fund","value","unit","rowth"
"95",2025-11-17,"สับเปลี่ยนออก","SCBTS100X(25A)",-345161.18,-32562.6831,167
"96",2026-04-20,"สับเปลี่ยนเข้า","ES-SETESG-ThaiESG-A",289469.58,27630.6345,115
"97",2026-04-20,"สับเปลี่ยนออก","ES-ESG3070-ThaiESG-A",-289469.58,-27747.7021,115
"98",2026-04-20,"สับเปลี่ยนเข้า","KF-JP-INDXRMF",40353.26,3304.2317,125
"99",2026-04-20,"สับเปลี่ยนออก","KFINDIARMF",-40353.26,-3025.9572,125
"100",2026-04-20,"สับเปลี่ยนเข้า","KT-JAPANSM-SSF",52227.65,2082.4255,135
"101",2026-04-20,"สับเปลี่ยนออก","KT-INDIA-SSF",-52227.65,-3016.167,135
"102",2026-04-20,"สับเปลี่ยนเข้า","KKP EQ THAI ESG",413165.83,47197.9152,145
"103",2026-04-20,"สับเปลี่ยนออก","KKP GB THAI ESG",-413165.83,-37532.8921,145
"104",2026-05-05,"ซื้อ","MEGA10AIRMF",5000,349.1644,83
"105",2026-05-05,"ซื้อ","KKP EQ THAI ESG",3e+05,34155.3384,87
"106",2026-05-29,"สับเปลี่ยนเข้า","MEGA10AIRMF",128632.93,8411.6693,78
"107",2026-05-29,"สับเปลี่ยนออก","MEGA10CHINARMF",-128632.93,-10100.0264,78
"108",2026-06-09,"สับเปลี่ยนเข้า","KF-JP-INDXRMF",47618,3506.6867,46
"109",2026-06-09,"สับเปลี่ยนออก","KFEURORMF",-47618,-2497.9149,46
"110",2026-06-24,"สับเปลี่ยนเข้า","K-VIETNAM-SSF",106705.9,8338.483,25
"111",2026-06-24,"สับเปลี่ยนออก","K-USA-SSF",-106705.9,-6688.4318,25
"112",2026-06-24,"สับเปลี่ยนเข้า","KKP GB THAI ESG",787076.46,70335.5995,35
"113",2026-06-24,"สับเปลี่ยนออก","KKP EQ THAI ESG",-787076.46,-81353.2536,35
"114",2026-06-25,"ซื้อ","ES-CASH",100,6.8872,4
"115",2026-06-25,"สับเปลี่ยนเข้า","UGISFX-SSF",55939.82,5399.4922,14
"116",2026-06-25,"สับเปลี่ยนออก","UGIS-SSF",-55939.82,-4735.5659,14
